type,title,release_year,movie_rating
Movie,Dick Johnson Is Dead,2020,teen
TV Show,Blood & Water,2021,adult
TV Show,Kota Factory,2021,adult
Movie,Sankofa,1993,adult
TV Show,The Great British Baking Show,2021,teen
Movie,The Starling,2021,teen
Movie,Je Suis Karl,2021,adult
TV Show,Dear White People,2021,adult
TV Show,Falsa identidad,2020,adult
TV Show,Resurrection: Ertugrul,2018,teen
Movie,Jeans,1998,teen
TV Show,Love on the Spectrum,2021,teen
Movie,Grown Ups,2010,teen
Movie,Dark Skies,2013,teen
Movie,Paranoia,2013,teen
TV Show,Sex Education,2020,adult
TV Show,Angry Birds,2018,children
Movie,Birth of the Dragon,2017,teen
TV Show,Chhota Bheem,2021,children
TV Show,He-Man and the Masters of the Universe,2021,children
Movie,Jaws,1975,children
Movie,Jaws 2,1978,children
Movie,Jaws 3,1983,children
Movie,Jaws: The Revenge,1987,teen
Movie,Safe House,2012,adult
Movie,Training Day,2001,adult
TV Show,Castle and Castle,2021,adult
TV Show,Dharmakshetra,2014,children
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,teen
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,teen
Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,children
Movie,InuYasha the Movie: Affections Touching Across Time,2001,children
TV Show,Nailed It,2021,children
Movie,Naruto Shippuden the Movie: Blood Prison,2011,teen
Movie,Naruto Shippûden the Movie: Bonds,2008,children
Movie,Naruto Shippûden the Movie: The Will of Fire,2009,children
Movie,Naruto Shippuden: The Movie,2007,children
Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,teen
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,children
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,children
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,children
TV Show,Numberblocks,2021,children
TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,children
TV Show,Saved by the Bell,1994,children
TV Show,Stories by Rabindranath Tagore,2015,children
TV Show,Jack Whitehall: Travels with My Father,2021,adult
Movie,King of Boys,2018,adult
TV Show,Yowamushi Pedal,2013,teen
Movie,Kate,2021,adult
TV Show,Lucifer,2021,teen
Movie,Omo Ghetto: the Saga,2020,adult
Movie,Paradise Hills,2019,adult
Movie,The Women and the Murderer,2021,teen
TV Show,Into the Night,2021,adult
Movie,Show Dogs,2018,children
TV Show,The Circle,2021,adult
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,adult
TV Show,Kid Cosmic,2021,children
TV Show,Octonauts: Above & Beyond,2021,children
TV Show,On the Verge,2021,adult
Movie,Untold: Breaking Point,2021,adult
TV Show,Tayo the Little Bus,2016,children
Movie,Angamaly Diaries,2017,teen
TV Show,Bunk'd,2021,children
Movie,A Champion Heart,2018,children
TV Show,Dive Club,2021,children
TV Show,La casa de papel,2021,adult
TV Show,Sharkdog,2021,children
Movie,Anjaam,1994,teen
Movie,Bright Star,2009,children
Movie,Dhanak,2015,children
Movie,Final Account,2021,teen
Movie,Gurgaon,2017,teen
TV Show,Heroes of Goo Jit Zu,2021,children
Movie,In the Cut,2003,adult
TV Show,Pororo - The Little Penguin,2013,children
TV Show,Q-Force,2021,adult
Movie,Shikara,2020,teen
Movie,A Cinderella Story,2004,children
Movie,An Unfinished Life,2005,teen
Movie,Blade Runner: The Final Cut,1982,adult
Movie,Chappie,2015,adult
Movie,Clear and Present Danger,1994,teen
Movie,Cliffhanger,1993,adult
Movie,Cold Mountain,2003,adult
Movie,Crocodile Dundee in Los Angeles,2001,children
Movie,Dear John,2010,teen
Movie,Do the Right Thing,1989,adult
Movie,"El patrón, radiografía de un crimen",2014,adult
Movie,Extraction,2015,adult
Movie,Freedom Writers,2007,teen
Movie,Green Lantern,2011,teen
Movie,House Party,1990,adult
Movie,House Party 2,1991,adult
Movie,House Party 3,1994,adult
Movie,I Got the Hook Up,1998,adult
Movie,In Too Deep,1999,adult
Movie,Initial D,2005,teen
Movie,Janoskians: Untold and Untrue,2016,adult
TV Show,Kid-E-Cats,2016,children
TV Show,Kuroko's Basketball,2015,adult
Movie,Labyrinth,1986,children
Movie,Letters to Juliet,2010,children
Movie,Level 16,2018,teen
Movie,Love Don't Cost a Thing,2003,teen
Movie,Love in a Puff,2010,adult
TV Show,Major Dad,1992,children
Movie,Mars Attacks!,1996,teen
Movie,Marshall,2017,teen
Movie,My Boss's Daughter,2003,adult
Movie,Mystery Men,1999,teen
Movie,Once Upon a Time in America,1984,adult
Movie,Open Season 2,2008,children
Movie,Osmosis Jones,2001,children
Movie,Poseidon,2006,teen
Movie,Rhyme & Reason,1997,adult
Movie,Same Kind of Different as Me,2017,teen
Movie,School of Rock,2003,teen
Movie,Snervous Tyler Oakley,2015,teen
Movie,Tears of the Sun,2003,adult
Movie,The Blue Lagoon,1980,adult
Movie,The Golden Child,1986,teen
Movie,The Guns of Navarone,1961,teen
Movie,The Interview,2014,adult
Movie,The Nutty Professor,1996,teen
Movie,Welcome Home Roscoe Jenkins,2008,teen
Movie,In the Line of Fire,1993,adult
