title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Lucifer,2016,42,TV Show,United States,English,8.1,250884,2021,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Army of the Dead,2021,148,Movie,United States,English,5.8,110780,2021,adult,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kominsky Method,2018,30,TV Show,United States,English,8.2,28795,2021,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ragnarok,2020,45,TV Show,Norway,Norwegian,7.5,26606,2021,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
StartUp,2016,44,TV Show,United States,English,8.0,16980,2018,adult,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grey's Anatomy,2005,41,TV Show,United States,English,7.5,260703,2020,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sweet Tooth,2021,\N,TV Show,United States,English,8.2,9622,2021,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blacklist,2013,43,TV Show,United States,English,8.0,207174,2019,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jupiter's Legacy,2021,56,TV Show,United States,English,6.8,27309,2021,adult,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirty John,2018,44,TV Show,United States,English,7.2,16578,2020,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Walking Dead,2010,44,TV Show,United States,English,8.2,873752,2019,adult,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Peaky Blinders,2013,60,TV Show,United Kingdom,Italian,8.8,378802,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shadow and Bone,2021,\N,TV Show,United States,English,7.8,51286,2021,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breaking Bad,2008,49,TV Show,United States,English,9.4,1523446,2013,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Woman in the Window,2021,100,Movie,United States,English,5.7,46703,2021,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bo Burnham: Inside,2021,87,Movie,United States,English,8.9,13128,2021,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blue Miracle,2021,95,Movie,United States,English,6.7,2962,2021,children,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Love, Death & Robots",2019,15,TV Show,United States,English,8.5,115604,2021,adult,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stranger Things,2016,51,TV Show,United States,English,8.7,862255,2019,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
La casa de papel,2017,70,TV Show,Spain,Spanish,8.3,329651,2021,adult,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Flash,2014,43,TV Show,United States,English,7.7,314053,2021,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outlander,2014,64,TV Show,United States,English,8.4,132355,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Supernatural,2005,44,TV Show,United States,English,8.4,399487,2019,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Master of None,2015,30,TV Show,United States,English,8.3,69338,2021,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dexter,2006,53,TV Show,United States,English,8.6,657797,2013,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Schitt's Creek,2015,22,TV Show,Canada,English,8.5,84154,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halston,2021,240,TV Show,United States,English,7.5,7747,2021,adult,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Better Call Saul,2015,46,TV Show,United States,English,8.7,340404,2018,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
